都道府県,蔵元名,銘柄名,特定名称,使用米,精米歩合(%),アルコール度数,日本酒度,酸度,価格帯(1-4),備考
北海道,合同酒精,,,,,,,,,
北海道,高砂酒造株式会社,,,,,,,,,
北海道,日本清酒株式会社,,,,,,,,,
北海道,福司酒造株式会社,,,,,,,,,
北海道,田中酒造株式会社,,,,,,,,,
青森県,八戸酒造株式会社,,,,,,,,,
宮城県,株式会社佐浦,,,,,,,,,
栃木県,小林酒造株式会社,,,,,,,,,
群馬県,龍神酒造株式会社,,,,,,,,,
埼玉県,南陽醸造株式会社,,,,,,,,,
新潟県,麒麟山酒造株式会社,,,,,,,,,
山梨県,笹一酒造株式会社,,,,,,,,,
長野県,株式会社遠藤酒造場,,,,,,,,,
岐阜県,株式会社林本店,,,,,,,,,
三重県,清水清三郎商店株式会社,,,,,,,,,
滋賀県,北島酒造株式会社,,,,,,,,,
京都府,招德酒造株式会社,,,,,,,,,
大阪府,山野酒造株式会社,,,,,,,,,
大阪府,寿酒造株式会社,,,,,,,,,
兵庫県,株式会社本田商店,,,,,,,,,
奈良県,今西酒造株式会社,,,,,,,,,
奈良県,梅乃宿酒造株式会社,,,,,,,,,
和歌山県,株式会社吉村秀雄商店,,,,,,,,,
和歌山県,名手酒造店,,,,,,,,,
鳥取県,諏訪酒造株式会社,,,,,,,,,
鳥取県,株式会社稲田本店,,,,,,,,,
島根県,王祿酒造有限会社,,,,,,,,,
島根県,旭日酒造有限会社,,,,,,,,,
岡山県,利守酒造株式会社,,,,,,,,,
岡山県,株式会社辻本店,,,,,,,,,
広島県,亀齢酒造株式会社,,,,,,,,,
山口県,株式会社澄川酒造場,,,,,,,,,
徳島県,三芳菊酒造株式会社,,,,,,,,,
香川県,川鶴酒造株式会社,,,,,,,,,
愛媛県,成龍酒造株式会社,,,,,,,,,
愛媛県,首藤酒造株式会社,,,,,,,,,
